timestamp,yy,xx,value,type
1588892400,-20,90,-23,soilhumidity
1588896000,-60,0,-22,soilhumidity
1588896000,-60,30,-17,soilhumidity
1588896000,-60,60,-12,soilhumidity
1588896000,-60,90,-13,soilhumidity
1588896000,-40,0,-14,soilhumidity
1588896000,-40,30,-13,soilhumidity
1588896000,-40,60,-13,soilhumidity
1588896000,-40,90,-17,soilhumidity
1588896000,-20,0,-14,soilhumidity
1588896000,-20,30,-13,soilhumidity
1588896000,-20,60,-19,soilhumidity
1588896000,-20,90,-24,soilhumidity
1588899600,-60,0,-21,soilhumidity
1588899600,-60,30,-17,soilhumidity
1588899600,-60,60,-12,soilhumidity
1588899600,-60,90,-13,soilhumidity
1588899600,-40,0,-14,soilhumidity
1588899600,-40,30,-13,soilhumidity
1588899600,-40,60,-13,soilhumidity
1588899600,-40,90,-17,soilhumidity
1588899600,-20,0,-13,soilhumidity
1588899600,-20,30,-13,soilhumidity
1588899600,-20,60,-19,soilhumidity
1588899600,-20,90,-24,soilhumidity
1588903200,-60,0,-26,soilhumidity
1588903200,-60,30,-17,soilhumidity
1588903200,-60,60,-12,soilhumidity
1588903200,-60,90,-13,soilhumidity
1588903200,-40,0,-14,soilhumidity
1588903200,-40,30,-13,soilhumidity
1588903200,-40,60,-13,soilhumidity
1588903200,-40,90,-17,soilhumidity
1588903200,-20,0,-13,soilhumidity
1588903200,-20,30,-13,soilhumidity
1588903200,-20,60,-19,soilhumidity
1588903200,-20,90,-24,soilhumidity
1588906800,-60,0,-21,soilhumidity
1588906800,-60,30,-17,soilhumidity
1588906800,-60,60,-12,soilhumidity
1588906800,-60,90,-13,soilhumidity
1588906800,-40,0,-14,soilhumidity
1588906800,-40,30,-13,soilhumidity
1588906800,-40,60,-13,soilhumidity
1588906800,-40,90,-17,soilhumidity
1588906800,-20,0,-13,soilhumidity
1588906800,-20,30,-13,soilhumidity
1588906800,-20,60,-19,soilhumidity
1588906800,-20,90,-24,soilhumidity
1588910400,-60,0,-26,soilhumidity
1588910400,-60,30,-17,soilhumidity
1588910400,-60,60,-12,soilhumidity
1588910400,-60,90,-13,soilhumidity
1588910400,-40,0,-14,soilhumidity
1588910400,-40,30,-13,soilhumidity
1588910400,-40,60,-13,soilhumidity
1588910400,-40,90,-17,soilhumidity
1588910400,-20,0,-13,soilhumidity
1588910400,-20,30,-13,soilhumidity
1588910400,-20,60,-19,soilhumidity
1588910400,-20,90,-24,soilhumidity
1588914000,-60,0,-21,soilhumidity
1588914000,-60,30,-17,soilhumidity
1588914000,-60,60,-12,soilhumidity
1588914000,-60,90,-13,soilhumidity
1588914000,-40,0,-14,soilhumidity
