timestamp,value,type
1590400800,54.6,airhumidity
1590404400,49.25,airhumidity
1590408000,47.4,airhumidity
1590411600,44,airhumidity
1590415200,40.3,airhumidity
1590418800,46.95,airhumidity
1590422400,49.55,airhumidity
1590426000,51.65,airhumidity
1590429600,52.45,airhumidity
1590433200,59.6,airhumidity
1590436800,76.05,airhumidity
1590440400,86.55,airhumidity
1590444000,91.45,airhumidity
1590447600,87.3,airhumidity
1590451200,89.15,airhumidity
1590454800,92.25,airhumidity
1590458400,84.4,airhumidity
1590462000,79.6,airhumidity
1590465600,79.15,airhumidity
1590469200,84.05,airhumidity
1590472800,81.4,airhumidity
1590476400,67.3,airhumidity
1590480000,58.45,airhumidity
1590483600,52.95,airhumidity
1590487200,52.1,airhumidity
1590490800,46.25,airhumidity
1590494400,47.1,airhumidity
1590498000,46.55,airhumidity
1590501600,45.3,airhumidity
1590505200,42.45,airhumidity
1590508800,43.4,airhumidity
1590512400,39.75,airhumidity
1590516000,41.2,airhumidity
1590519600,48.6,airhumidity
1590523200,55.25,airhumidity
1590526800,65.3,airhumidity
1590530400,83.35,airhumidity
1590534000,90.5,airhumidity
1590537600,91.8,airhumidity
1590541200,90.55,airhumidity
1590544800,89.45,airhumidity
1590548400,90.2,airhumidity
1590552000,90.55,airhumidity
1590555600,89.85,airhumidity
1590559200,82.95,airhumidity
1590562800,72.5,airhumidity
1590566400,63.75,airhumidity
1590570000,57.4,airhumidity
1590573600,51.2,airhumidity
1590577200,48.25,airhumidity
1590580800,46.3,airhumidity
1590584400,43.85,airhumidity
1590588000,44.5,airhumidity
1590591600,41.75,airhumidity
1590595200,39.2,airhumidity
1590598800,40.75,airhumidity
1590602400,41.35,airhumidity
1590606000,56.55,airhumidity
1590609600,78.65,airhumidity
1590613200,77.3,airhumidity
1590616800,76.2,airhumidity
1590620400,76.3,airhumidity
1590624000,76.3,airhumidity
1590627600,77.4,airhumidity
1590631200,75.9,airhumidity
1590634800,77.45,airhumidity
1590638400,80.1,airhumidity
1590642000,79.45,airhumidity
1590645600,75.7,airhumidity
1590649200,69.2,airhumidity
1590652800,59.15,airhumidity
1590656400,46.05,airhumidity
1590660000,44.45,airhumidity
1590663600,41.55,airhumidity
1590667200,42.1,airhumidity
1590670800,47.6,airhumidity
1590674400,46.65,airhumidity
1590678000,46.35,airhumidity
1590681600,48.1,airhumidity
1590685200,46.4,airhumidity
1590688800,46.1,airhumidity
1590692400,51.3,airhumidity
1590696000,62.65,airhumidity
1590699600,76.75,airhumidity
1590703200,84.35,airhumidity
1590706800,91.25,airhumidity
1590710400,80.6,airhumidity
1590714000,79.5,airhumidity
1590717600,89.6,airhumidity
1590721200,93.65,airhumidity
1590724800,95.6,airhumidity
1590728400,96.3,airhumidity
1590732000,96.75,airhumidity
1590735600,96.95,airhumidity
1590739200,94.95,airhumidity
1590742800,89.2,airhumidity
1590746400,91.85,airhumidity
1590750000,89.35,airhumidity
1590753600,85.05,airhumidity
1590757200,79.5,airhumidity
1590760800,72.3,airhumidity
1590764400,64.8,airhumidity
1590768000,70.5,airhumidity
1590771600,68.05,airhumidity
1590775200,61.75,airhumidity
1590778800,72.7333333333333,airhumidity
1590782400,80.075,airhumidity
1590786000,79.85,airhumidity
1590789600,77.1,airhumidity
1590793200,85.5666666666667,airhumidity
1590796800,94.35,airhumidity
1590800400,94.65,airhumidity
1590804000,93.95,airhumidity
1590807600,93.45,airhumidity
1590811200,92.3,airhumidity
1590814800,92.5,airhumidity
1590818400,90.075,airhumidity
1590822000,85.2,airhumidity
1590825600,80.45,airhumidity
1590829200,78.275,airhumidity
1590832800,76.375,airhumidity
1590836400,69.625,airhumidity
1590840000,67.5,airhumidity
1590843600,64.675,airhumidity
1590847200,64.075,airhumidity
1590850800,60.15,airhumidity
1590854400,60.375,airhumidity
1590858000,61.25,airhumidity
1590861600,59.975,airhumidity
1590865200,62.075,airhumidity
1590868800,68.275,airhumidity
1590872400,74.775,airhumidity
1590876000,75.925,airhumidity
1590879600,82.8666666666667,airhumidity
1590883200,94.45,airhumidity
1590886800,93.15,airhumidity
1590890400,92.7,airhumidity
1590894000,92.5,airhumidity
1590897600,93.625,airhumidity
1590901200,94.225,airhumidity
1590904800,91.425,airhumidity
1590908400,88,airhumidity
1590912000,86.025,airhumidity
1590915600,83.25,airhumidity
1590919200,79.55,airhumidity
1590922800,72.5,airhumidity
1590926400,68.275,airhumidity
1590930000,62.15,airhumidity
1590933600,63.6,airhumidity
1590937200,59.95,airhumidity
1590940800,57.175,airhumidity
1590944400,54.85,airhumidity
1590948000,58.35,airhumidity
1590951600,62.3,airhumidity
1590955200,67.25,airhumidity
1590958800,72.375,airhumidity
1590962400,75.65,airhumidity
1590966000,84.8666666666667,airhumidity
1590969600,96.35,airhumidity
1590973200,95.55,airhumidity
1590976800,94.9,airhumidity
1590980400,94.725,airhumidity
1590984000,95.575,airhumidity
1590987600,96.025,airhumidity
1590991200,92.85,airhumidity
1590994800,86.375,airhumidity
1590998400,79.5,airhumidity
1591002000,74.675,airhumidity
1591005600,73,airhumidity
1591009200,65.625,airhumidity
1591012800,58.225,airhumidity
1591016400,51.35,airhumidity
1591020000,51.875,airhumidity
1591023600,50.1,airhumidity
1591027200,50.05,airhumidity
1591030800,49.275,airhumidity
1591034400,48.975,airhumidity
1591038000,54.075,airhumidity
1591041600,64.35,airhumidity
1591045200,68.95,airhumidity
1591048800,68.675,airhumidity
1591052400,77.1666666666667,airhumidity
1591056000,86.95,airhumidity
1591059600,88.05,airhumidity
1591063200,84.65,airhumidity
1591066800,87.85,airhumidity
1591070400,83.75,airhumidity
1591074000,85.6,airhumidity
1591077600,82.75,airhumidity
1591081200,80.6,airhumidity
1591084800,72.25,airhumidity
1591088400,70.775,airhumidity
1591092000,67.925,airhumidity
1591095600,58.9,airhumidity
1591099200,56,airhumidity
1591102800,51.825,airhumidity
1591106400,50.125,airhumidity
1591110000,48.475,airhumidity
1591113600,49.675,airhumidity
1591117200,48.2,airhumidity
1591120800,48.8,airhumidity
1591124400,61.125,airhumidity
1591128000,63.225,airhumidity
1591131600,59.25,airhumidity
1591135200,61.925,airhumidity
1591138800,78.5,airhumidity
1591142400,89.35,airhumidity
1591146000,90.35,airhumidity
1591149600,87.25,airhumidity
1591153200,87.425,airhumidity
1591156800,89.4,airhumidity
1591160400,89.9,airhumidity
1591164000,84.3,airhumidity
1591167600,79.6,airhumidity
1591171200,75.075,airhumidity
1591174800,73.275,airhumidity
1591178400,67.725,airhumidity
1591182000,60.475,airhumidity
1591185600,57.2,airhumidity
1591189200,55.5,airhumidity
1591192800,52.65,airhumidity
1591196400,50.3,airhumidity
1591200000,54.075,airhumidity
1591203600,52.275,airhumidity
1591207200,48.525,airhumidity
1591210800,49.6,airhumidity
1591214400,52.5,airhumidity
1591218000,51.875,airhumidity
1591221600,50.625,airhumidity
1591225200,52.75,airhumidity
1591228800,55.65,airhumidity
1591232400,58.925,airhumidity
1591236000,64.725,airhumidity
1591239600,60.4,airhumidity
1591243200,66.175,airhumidity
1591246800,74.675,airhumidity
1591250400,78.025,airhumidity
1591254000,73.275,airhumidity
1591257600,79.675,airhumidity
1591261200,87.7,airhumidity
1591264800,87.575,airhumidity
1591268400,87.95,airhumidity
1591272000,90.925,airhumidity
1591275600,90.775,airhumidity
